datasets,correct,total,accuracy
abstract_algebra_test,55,99,0.5555555555555556
anatomy_test,114,134,0.8507462686567164
astronomy_test,137,151,0.9072847682119205
business_ethics_test,79,99,0.797979797979798
clinical_knowledge_test,228,265,0.8603773584905661
college_biology_test,135,144,0.9375
college_chemistry_test,52,100,0.52
college_computer_science_test,72,100,0.72
college_mathematics_test,52,100,0.52
college_medicine_test,135,173,0.7803468208092486
college_physics_test,59,102,0.5784313725490197
computer_security_test,79,100,0.79
conceptual_physics_test,201,235,0.8553191489361702
econometrics_test,77,114,0.6754385964912281
electrical_engineering_test,110,145,0.7586206896551724
elementary_mathematics_test,280,378,0.7407407407407407
formal_logic_test,78,126,0.6190476190476191
global_facts_test,50,100,0.5
high_school_biology_test,286,310,0.9225806451612903
high_school_chemistry_test,147,203,0.7241379310344828
high_school_computer_science_test,92,100,0.92
high_school_european_history_test,144,165,0.8727272727272727
high_school_geography_test,182,198,0.9191919191919192
high_school_government_and_politics_test,187,193,0.9689119170984456
high_school_macroeconomics_test,339,390,0.8692307692307693
high_school_mathematics_test,126,270,0.4666666666666667
high_school_microeconomics_test,224,238,0.9411764705882353
high_school_physics_test,101,151,0.6688741721854304
high_school_psychology_test,503,545,0.9229357798165138
high_school_statistics_test,157,216,0.7268518518518519
high_school_us_history_test,186,204,0.9117647058823529
high_school_world_history_test,211,237,0.890295358649789
human_aging_test,158,223,0.7085201793721974
human_sexuality_test,98,131,0.7480916030534351
international_law_test,103,121,0.8512396694214877
jurisprudence_test,89,108,0.8240740740740741
logical_fallacies_test,134,163,0.8220858895705522
machine_learning_test,84,112,0.75
management_test,90,103,0.8737864077669902
marketing_test,213,234,0.9102564102564102
medical_genetics_test,94,100,0.94
miscellaneous_test,732,783,0.9348659003831418
moral_disputes_test,253,346,0.7312138728323699
moral_scenarios_test,622,895,0.6949720670391062
nutrition_test,260,306,0.8496732026143791
philosophy_test,254,311,0.8167202572347267
prehistory_test,285,324,0.8796296296296297
professional_accounting_test,205,282,0.7269503546099291
professional_law_test,1047,1534,0.682529335071708
professional_medicine_test,258,272,0.9485294117647058
professional_psychology_test,512,612,0.8366013071895425
public_relations_test,77,110,0.7
security_studies_test,169,245,0.689795918367347
sociology_test,185,201,0.9203980099502488
us_foreign_policy_test,93,100,0.93
virology_test,93,166,0.5602409638554217
world_religions_test,151,171,0.8830409356725146
average,22264,28076,0.7929904544806953
weight average,22264,28076,0.7907529485418562
