datasets,correct,total,accuracy
abstract_algebra_test,55,100,0.55
anatomy_test,119,135,0.8814814814814815
astronomy_test,137,152,0.9013157894736842
business_ethics_test,85,100,0.85
clinical_knowledge_test,240,265,0.9056603773584906
college_biology_test,135,144,0.9375
college_chemistry_test,57,100,0.57
college_computer_science_test,81,100,0.81
college_mathematics_test,47,100,0.47
college_medicine_test,147,173,0.8497109826589595
college_physics_test,67,102,0.6568627450980392
computer_security_test,82,100,0.82
conceptual_physics_test,208,235,0.8851063829787233
econometrics_test,82,114,0.7192982456140351
electrical_engineering_test,114,145,0.7862068965517242
elementary_mathematics_test,285,378,0.753968253968254
formal_logic_test,84,126,0.6666666666666666
global_facts_test,66,100,0.66
high_school_biology_test,295,310,0.9516129032258065
high_school_chemistry_test,159,203,0.7832512315270936
high_school_computer_science_test,90,100,0.9
high_school_european_history_test,148,165,0.896969696969697
high_school_geography_test,188,198,0.9494949494949495
high_school_government_and_politics_test,191,193,0.9896373056994818
high_school_macroeconomics_test,355,390,0.9102564102564102
high_school_mathematics_test,140,270,0.5185185185185185
high_school_microeconomics_test,231,238,0.9705882352941176
high_school_physics_test,111,151,0.7350993377483444
high_school_psychology_test,520,545,0.9541284403669725
high_school_statistics_test,172,216,0.7962962962962963
high_school_us_history_test,192,204,0.9411764705882353
high_school_world_history_test,222,237,0.9367088607594937
human_aging_test,179,223,0.8026905829596412
human_sexuality_test,121,131,0.9236641221374046
international_law_test,109,121,0.9008264462809917
jurisprudence_test,97,108,0.8981481481481481
logical_fallacies_test,147,163,0.901840490797546
machine_learning_test,88,112,0.7857142857142857
management_test,92,103,0.8932038834951457
marketing_test,216,234,0.9230769230769231
medical_genetics_test,96,100,0.96
miscellaneous_test,748,783,0.9553001277139208
moral_disputes_test,293,346,0.846820809248555
moral_scenarios_test,605,895,0.6759776536312849
nutrition_test,273,306,0.8921568627450981
philosophy_test,269,311,0.864951768488746
prehistory_test,305,324,0.941358024691358
professional_accounting_test,217,282,0.7695035460992907
professional_law_test,1129,1534,0.7359843546284224
professional_medicine_test,264,272,0.9705882352941176
professional_psychology_test,543,612,0.8872549019607843
public_relations_test,84,110,0.7636363636363637
security_studies_test,189,245,0.7714285714285715
sociology_test,181,201,0.900497512437811
us_foreign_policy_test,93,100,0.93
virology_test,91,166,0.5481927710843374
world_religions_test,153,171,0.8947368421052632
average,11687,14042,0.8322888477424868
weight average,11687,14042,0.8288608720420961
