datasets,correct,total,accuracy
abstract_algebra_test,62,99,0.6262626262626263
anatomy_test,103,134,0.7686567164179104
astronomy_test,141,151,0.9337748344370861
business_ethics_test,77,99,0.7777777777777778
clinical_knowledge_test,221,265,0.8339622641509434
college_biology_test,128,144,0.8888888888888888
college_chemistry_test,54,100,0.54
college_computer_science_test,73,100,0.73
college_mathematics_test,59,100,0.59
college_medicine_test,131,173,0.7572254335260116
college_physics_test,58,102,0.5686274509803921
computer_security_test,81,100,0.81
conceptual_physics_test,200,235,0.851063829787234
econometrics_test,78,114,0.6842105263157895
electrical_engineering_test,112,145,0.7724137931034483
elementary_mathematics_test,305,378,0.8068783068783069
formal_logic_test,79,126,0.626984126984127
global_facts_test,55,100,0.55
high_school_biology_test,290,310,0.9354838709677419
high_school_chemistry_test,145,203,0.7142857142857143
high_school_computer_science_test,90,100,0.9
high_school_european_history_test,138,165,0.8363636363636363
high_school_geography_test,177,198,0.8939393939393939
high_school_government_and_politics_test,184,193,0.9533678756476683
high_school_macroeconomics_test,325,390,0.8333333333333334
high_school_mathematics_test,174,270,0.6444444444444445
high_school_microeconomics_test,221,238,0.9285714285714286
high_school_physics_test,107,151,0.7086092715231788
high_school_psychology_test,503,545,0.9229357798165138
high_school_statistics_test,172,216,0.7962962962962963
high_school_us_history_test,182,204,0.8921568627450981
high_school_world_history_test,211,237,0.890295358649789
human_aging_test,173,223,0.7757847533632287
human_sexuality_test,111,131,0.8473282442748091
international_law_test,106,121,0.8760330578512396
jurisprudence_test,93,108,0.8611111111111112
logical_fallacies_test,141,163,0.8650306748466258
machine_learning_test,81,112,0.7232142857142857
management_test,84,103,0.8155339805825242
marketing_test,217,234,0.9273504273504274
medical_genetics_test,90,100,0.9
miscellaneous_test,727,783,0.9284802043422733
moral_disputes_test,270,346,0.7803468208092486
moral_scenarios_test,643,895,0.7184357541899441
nutrition_test,256,306,0.8366013071895425
philosophy_test,249,311,0.8006430868167203
prehistory_test,273,324,0.8425925925925926
professional_accounting_test,188,282,0.6666666666666666
professional_law_test,961,1534,0.6264667535853976
professional_medicine_test,236,272,0.8676470588235294
professional_psychology_test,504,612,0.8235294117647058
public_relations_test,84,110,0.7636363636363637
security_studies_test,194,245,0.7918367346938775
sociology_test,176,201,0.8756218905472637
us_foreign_policy_test,94,100,0.94
virology_test,89,166,0.536144578313253
world_religions_test,151,171,0.8830409356725146
average,11127,14038,0.7926342783872347
weight average,11127,14038,0.7936822199444373
