datasets,correct,total,accuracy
abstract_algebra_test,66,100,0.66
anatomy_test,106,135,0.7851851851851852
astronomy_test,140,152,0.9210526315789473
business_ethics_test,79,100,0.79
clinical_knowledge_test,232,265,0.8754716981132076
college_biology_test,131,144,0.9097222222222222
college_chemistry_test,58,100,0.58
college_computer_science_test,73,100,0.73
college_mathematics_test,60,100,0.6
college_medicine_test,134,173,0.7745664739884393
college_physics_test,64,102,0.6274509803921569
computer_security_test,81,100,0.81
conceptual_physics_test,205,235,0.8723404255319149
econometrics_test,80,114,0.7017543859649122
electrical_engineering_test,114,145,0.7862068965517242
elementary_mathematics_test,325,378,0.8597883597883598
formal_logic_test,87,126,0.6904761904761905
global_facts_test,63,100,0.63
high_school_biology_test,290,310,0.9354838709677419
high_school_chemistry_test,145,203,0.7142857142857143
high_school_computer_science_test,93,100,0.93
high_school_european_history_test,137,165,0.8303030303030303
high_school_geography_test,184,198,0.9292929292929293
high_school_government_and_politics_test,186,193,0.9637305699481865
high_school_macroeconomics_test,333,390,0.8538461538461538
high_school_mathematics_test,176,270,0.6518518518518519
high_school_microeconomics_test,228,238,0.957983193277311
high_school_physics_test,113,151,0.7483443708609272
high_school_psychology_test,506,545,0.9284403669724771
high_school_statistics_test,176,216,0.8148148148148148
high_school_us_history_test,187,204,0.9166666666666666
high_school_world_history_test,212,237,0.8945147679324894
human_aging_test,176,223,0.7892376681614349
human_sexuality_test,114,131,0.8702290076335878
international_law_test,108,121,0.8925619834710744
jurisprudence_test,94,108,0.8703703703703703
logical_fallacies_test,145,163,0.8895705521472392
machine_learning_test,87,112,0.7767857142857143
management_test,85,103,0.8252427184466019
marketing_test,221,234,0.9444444444444444
medical_genetics_test,93,100,0.93
miscellaneous_test,732,783,0.9348659003831418
moral_disputes_test,281,346,0.8121387283236994
moral_scenarios_test,648,895,0.7240223463687151
nutrition_test,260,306,0.8496732026143791
philosophy_test,251,311,0.8070739549839229
prehistory_test,288,324,0.8888888888888888
professional_accounting_test,194,282,0.6879432624113475
professional_law_test,1026,1534,0.6688396349413298
professional_medicine_test,239,272,0.8786764705882353
professional_psychology_test,521,612,0.8513071895424836
public_relations_test,84,110,0.7636363636363637
security_studies_test,189,245,0.7714285714285715
sociology_test,181,201,0.900497512437811
us_foreign_policy_test,94,100,0.94
virology_test,92,166,0.5542168674698795
world_religions_test,150,171,0.8771929824561403
average,11417,14042,0.8130608175473579
weight average,11417,14042,0.8135511944955952
